raw_topic,raw_subtopic,count,topic_family,canonical_subtopic,question_type
Edebiyat,Edebi Türler,45,Edebiyat ve Soz Sanatlari,Edebiyat - Edebi Turler,edebiyat_edebi_turler
Paragraf,Ana Düşünce,28,Paragraf,Paragraf - Ana Dusunce,paragraf_ana_dusunce
Sözcükte Anlam,Çok Anlamlılık,18,Sozcukte Anlam,Sozcukte Anlam - Cok Anlamlilik,sozcukte_anlam_cok_anlamlilik
Paragraf,Metin İnceleme,17,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Paragrafta Anlam,13,Paragraf,Paragraf - Diger,paragraf_diger
Sözcükte Anlam,Sözcükte Anlam,11,Sozcukte Anlam,Sozcukte Anlam - Diger,sozcukte_anlam_diger
Paragraf,Çıkarım,9,Paragraf,Paragraf - Cikarim,paragraf_cikarim
Paragraf,Anlam Akışı,9,Paragraf,Paragraf - Anlam Akisi,paragraf_anlam_akisi
Paragraf,Metin Analizi,8,Paragraf,Paragraf - Metin Analizi,paragraf_metin_analizi
Yazım Kuralları,Yazım Yanlışı,6,Yazim ve Noktalama,Yazim ve Noktalama - Yazim Yanlisi,yazim_ve_noktalama_yazim_yanlisi
Cümlede Anlam,Cümlede Anlam,5,Cumlede Anlam,Cumlede Anlam - Diger,cumlede_anlam_diger
Cümlede Anlam,Çıkarım,5,Paragraf,Paragraf - Cikarim,paragraf_cikarim
Anlatım Teknikleri,Anlatım Teknikleri,5,Paragraf,Paragraf - Anlatim Bicimi/Teknikleri,paragraf_anlatim_bicimi_teknikleri
Paragraf,Sebep-Sonuç,4,Cumlede Anlam,Cumlede Anlam - Anlam Iliskileri,cumlede_anlam_anlam_iliskileri
Anlatım Özellikleri,Anlatım Teknikleri,4,Paragraf,Paragraf - Anlatim Bicimi/Teknikleri,paragraf_anlatim_bicimi_teknikleri
Mantık,Sıralama ve İlişki Kurma,4,Sozel Mantik,Sozel Mantik - Genel,sozel_mantik_genel
Mantık,İlişki Kurma ve Çıkarım,4,Paragraf,Paragraf - Cikarim,paragraf_cikarim
Mantık,Grup Oluşturma,4,Sozel Mantik,Sozel Mantik - Genel,sozel_mantik_genel
Paragraf,Yardımcı Fikir,4,Paragraf,Paragraf - Yardimci Fikir,paragraf_yardimci_fikir
Sözcükte Anlam,Deyim,4,Sozcukte Anlam,Sozcukte Anlam - Deyim/Atasozi,sozcukte_anlam_deyim_atasozi
Cümlede Anlam,Cümle Birleştirme,4,Paragraf,Paragraf - Tamamlama/Olusturma/Siralama,paragraf_tamamlama_olusturma_siralama
Edebiyat,Şiir,4,Edebiyat ve Soz Sanatlari,Edebiyat - Siir,edebiyat_siir
Cümlede Anlam,Ana Düşünce,4,Paragraf,Paragraf - Ana Dusunce,paragraf_ana_dusunce
Paragraf,Anlatım Biçimi,4,Paragraf,Paragraf - Anlatim Bicimi/Teknikleri,paragraf_anlatim_bicimi_teknikleri
Sözcükte Anlam,Sözcük Anlam Çeşitleri,3,Sozcukte Anlam,Sozcukte Anlam - Diger,sozcukte_anlam_diger
Cümlede Anlam,Cümle Yorumlama,3,Cumlede Anlam,Cumlede Anlam - Cikarim/Yorum,cumlede_anlam_cikarim_yorum
Paragraf,Cümle Analizi,3,Paragraf,Paragraf - Diger,paragraf_diger
Anlatım Özellikleri,Anlatım Nitelikleri,3,Paragraf,Paragraf - Diger,paragraf_diger
