ID,Metni Var mı,Soru Metni,Soru Kökü,A,B,C,D
1,Evet,"Bir gün Tophaneli Kahvesinde birkaç kişi oturmuş, çay içiyorduk. Birdenbire bir arkadaş nefes nefese içeriye girdi: — Haberiniz var mı? Tahsin Efendi gelmiş. Üç gündür Erzurum'da imiş. Kardeşleri bakmışlar. Annesi çok sevinmiş. İki gece kalmış, yıkamışlar, yeni urbalar giydirmişler. (Yer) Aşağılarda kalan derenin uğultusu rüzgârın esişine göre azalıp çoğalarak bize kadar geliyor, çamların mırıltısına karışıyordu. Hacer kız, elini yanına uzatarak yerden kuru bir kozalak aldı; parmaklarıyla onun dişlerini büküp kırmaya başladı. Baygın bir kekik ve çam kokusu ortalığı kaplamıştı. (Zaman) Sonra geniş bir nefes aldı ve yere, bu sefer sırtüstü ve upuzun uzandı. Gözleri apaçık, gökyüzünü seyrediyordu. Ne diyeceğimi bilmiyordum, tabiatı takdir ederken ondan bir parça gibi et ve toprağın içine gömülen bu adama ne söyleyebilirdim? Aynı sessizlik, bir müddet sürdü. Sonra daha tatlı bir sesle mırıldandı. (Kişi) Koca bir gün Kız Kulesi açıklarında bekledikten sonra ancak gün kararırken rıhtıma çıkabildiler. Rıhtımda sarılanlar, koklaşanlar, ağlaşanlar vardı. Aradığını bulamayarak saçını yolan insanlar görülüyordu. Nemli bir sonbahar akşamıydı. Ömer, kaputuna sarıldı. Beyaz torbasını omuzuna vurdu. Arkadaşlarıyla vedalaştı. (Olay)",Aşağıdakilerin hangisinde yay ayraç içinde verilen hikâye unsuru yoktur?,(Yer),(Zaman),(Kişi),(Olay)
2,Evet,"Roman yazmanın kurallarına bütünüyle hâkim. Neredeyse yazdığı her kitabında farklı bir anlatım biçimi kullanmış. Dili kullanımındaki zenginliğiyle her satırda okuyucuyu kendine hayran bırakıyor. Açıkçası bir eleştirmen olarak kitabından aldığım hazzı unutamıyorum. Zaman zaman kendisiyle de konuşuyorum, eleştirmenlere değer verdiğini belirtmek isterim.",Aşağıdakilerden hangisi bu metinde sözü edilen yazarın bir özelliği değildir?,Dilin imkânlarından yararlanabilme,Romanı oluşturan unsurları ustaca kullanabilme,Anlatımda çeşitliliği önemseme,Farklı türlerde eserler ortaya koyma
3,Evet,Bazı kalp ameliyatları sırasında röntgen yani X ışınlarıyla görüntüleme yöntemi kullanılıyor. Ancak kalp ve karaciğer gibi yumuşak dokulardan oluşan organların röntgen görüntüleri net olmuyor. Buna rağmen doktorlar bu gibi yumuşak doku ameliyatlarında organın durumunu izlemek amacıyla ameliyata zaman zaman ara verip organın röntgenini çekiyorlar.,Bu parçanın anlatım biçimi aşağıdakilerin hangisinde doğru verilmiştir?,Açıklama,Betimleme,Tartışma,Öyküleme
4,Evet,"(I) Roman, yaşanmış ya da yaşanması mümkün olayları anlatır. (II) Bu yüzden insanlar roman okurken onda kendilerinden bir şeyler bulur. (III) İnsanların romandan zevk almaları bu yaşanmışlıkla ilgilidir. (IV) Romanlar, konularına göre çeşit çeşittir. (V) Kimi bir psikolojik olayı, kimi bir polisiye olayı, kimi de bir kişinin maceralarını ele alır.",Yukarıdaki cümlelerden iki paragraf oluşturulmak istense ikinci paragraf kaçıncı cümleyle başlar?,I.,II.,III.,IV.
5,Evet,"Romanlarımı yazmadan önce _günlerce_, haftalarca düşünürüm. Yazarken her cümlede içimde bir fırtına kopar, aklıma her geleni de öyle kâğıda dökmem; iyice düşünür, öyle yazarım. Defalarca değiştiririm yazdıklarımı. Rastgele oluşturmam hiçbir yazımı. Anlatacağım olay, kişi ya da durum neyse hepsiyle uzun süre yaşar, onları öyle kaleme alırım.",Bu metinde aşağıdakilerden hangisine değinilmemiştir?,Yazarın romanlarındaki kişi ve olaylarla bütünleştiğine,Rastgele yazılan romanların okuyucuyu etkilemediğine,Roman yazmanın bir hazırlık gerektirdiğine,"Yazarın, romanlarını yazarken gerekli düzeltmeleri yaptığına"
6,Evet,"Ders çalışmanın belli kuralları vardır. Söz gelimi zor dersleri en rahat anlayabileceğiniz saatlere yerleştirebilirsiniz. Araştırmalar, en verimli çalışma saatlerinin sabahın erken saatleri, öğleden sonra 14.00 ile 16.00 arası olduğunu ayrıca, yatmadan önce yapılan tekrarların yararlı olduğunu ortaya koymuştur. Tekrar için ayırdığınız saatler, genellikle dersin sınıfta öğrenildiği zamana yakın saatler olmalıdır. Çünkü dersin sınıfta işlendiği gün tekrar edilmesi unutma olasılığını azaltır, ----",Bu metin anlam akışına göre aşağıdakilerden hangisiyle tamamlanmalıdır?,öğrenmeyi zorlaştırır,konuyu diğer konularla karıştırmanıza neden olur,öğrenmeyi pekiştirir,konuya hâkim olmanızı engeller
7,Hayır,,Aşağıdakilerden hangisi akıcı bir metnin özelliği olamaz?,Söylenişi güç sözcük ve terimlerden kaçınılır.,Uzun ve karmaşık ifadelere yer verilmez.,Anlatımda gereksiz tekrarlara başvurulmaz.,Cümlelerde özne-yüklem uyumu vardır.
8,Evet,"Bir gece susamış ve su içmeye kalkmıştım. Babamın çalışma odasındaki ışığı görünce kendisine bir selam vereyim, dedim. Kapıyı tıklatıp odaya girdiğimde babamın çalışma masasında uyuyakalmış olduğunu gördüm. Masada birçok kâğıt, kalınca bir defter, kenarda uyumamak için içtiği kahvenin fincanı duruyordu.",Bu parçanın anlatımında aşağıdakilerin hangisinden yararlanılmıştır?,Betimleme,Örnekleme,Benzetme,Tanık gösterme
9,Evet,"İki kolun kucaklayamayacağı kadar büyük olan ağaç, saç kadar ince bir kökten doğmuştur. Yedi katlı bir kule, bir toprak yığını üstünde yükselir. Bin fersahlık yolculuk da bir adımla başlar. Öyleyse","Bu parçanın sonuna, _düşüncenin akışına göre_ aşağıdakilerden hangisi getirilmelidir?",her şey nasıl başlarsa öyle gider.,yarınlar da bugünün üzerinde yükselecektir.,hayat ayrıntılarda gizlidir.,yarınlara umutla bakıp harekete geçmeliyiz.
10,Evet,"Oyuncak alanında araştırma yapan arkeolog, sosyolog ve tarihçilerin elde ettiği bilgilere göre, tarihin en eski oyuncağının MÖ 5. yy.da Mısır'da yapılan tahta atlar olduğu sanılıyordu. Oysa son yapılan araştırmalara göre dünyanın günümüze ulaşan en eski oyuncağı Mardin'in Kızıltepe ilçesinde bir höyükte yapılan kazılarda bulundu. Pişmiş çamurdan yapılan oyuncak arabanın MÖ 5500-3000'li yıllara ait olduğu ortaya çıktı. 7 bin 500 yıllık oyuncak arabanın Kalkolitik Dönem'e ait olduğu tespit edildi.",Bu metinden _kesin olarak_ çıkarılabilecek yargı aşağıdakilerden hangisidir?,Bilim insanları da çalışmalarında bazı hatalar yapabilir.,Tarihsel olgular zaman içinde muhakkak değişiklik gösterir.,Bilimsel araştırmaların geçerliliği yeni bir bilgiye ulaşıncaya kadardır.,Bilimin ayakları henüz sağlam temeller üzerine basmamaktadır.
