soru_id,metin_var_mı,metin,soru_kökü,A,B,C,D,E
1,Evet,"Deyimler dilimizin söz varlığının en önemli birimlerinden olup... Örneğin gereğinde bir konuya yeniden dönebilme imkânı bırakmak kesip atmamak anlamlarında ---- çevresinde olup bitenin farkına varmamak ilgisiz kalmak gibi durumlarda ---- herhangi bir konuyu sürekli olarak yazmak ise ---- deyimi ile karşılanır","Aşağıdakilerden hangisi bu metinde boş bırakılan yerlerden herhangi birine getirilemez","kalemine dolamak","dişe dokunmak","açık kapı bırakmak","gözü kapalı olmak",
2,Evet,"Fransız yazar Montaigne'i duymayan ve bilmeyen biri yoktur... Michel de Montaigne'den bahsediyorum. 1580'de yayımlanan bu kitap günümüzde hâlâ popülerliğini koruyor... Montaigne düşüncelerini o kadar iyi bir şekilde anlatmış ki bazı cümlelerinde kişi kendi kendinin iç sesini duyuyormuş gibi oluyor","Bu metinde geçen 'popülerliğini korumak' ve 'kendi kendinin iç sesini duymak' sözleriyle anlatılmak istenenler sırasıyla aşağıdakilerden hangisidir","Özlü bir anlatımı olan - kişiye hayatı sorgulatan","Kalıcılığı sağlayan - fikir dünyasını harekete geçiren","Toplumsal konulara değinen - okuyucunun duygularına tercüman olan","Daima ilgi çeken - kişinin kendini yakından tanımasına olanak sağlayan",
3,Evet,"Aşağıda bazı söz sanatlarının açıklaması verilmiştir: Mübalağa (abartma) Tezat (karşıtlık) İntak (konuşturma)","Aşağıdakilerin hangisinde açıklaması verilen sanatlardan herhangi birine yer verilmemiştir","Sana dar gelmeyecek makberi kimler kazsın / Gömelim gel seni tarihe desem sığmazsın","O gün bugün hep sessiz ağlaşırlar geceler / Ruhumla bir dost gibi anlaşırlar geceler","Ölüm bize ne uzak bize ne yakın ölüm / Ölümsüzlüğü tattık bize ne yapsın ölüm","Benim adım dertli dolap / Suyum akar yalap yalap",
4,Evet,"Çalılar arasındaki patikada bir müddet gözümden kayboldu... Buralarda karşılaşacağımızı kestiriyordum. Fakat uzun zaman yürüdüğüm hâlde kimseye rastlamadım... Akşam iyice çökmüştü... Daha yaklaştım o zaman yerde birinin yattığını gördüm","Bu metinde numaralanmış sözcüklerden hangisinin anlamı yanlış verilmiştir","I (Tahmin etmek)","II (Bir kimse ile karşı karşıya gelmek karşılaşmak)","III (Sarsılıp dinçliğini yitirmek)","IV (Arada az bir aralık kalacak biçimde ilerlemek)",
5,Evet,"I Öğretmenin verdiği çıtayı kesti uçurtmanın iskeletini oluşturdu II Ağacın kuruyan dallarını belediye ekipleri kesti III Şiddetli rüzgâr aracımızın hızını iyiden iyiye kesti","Kesmek sözcüğü aşağıdaki cümlelerin hangisinde numaralanmış anlamlarından herhangi biriyle kullanılmamıştır","Geçişi önlemek","Azaltmak güçleştirmek","Bıçak makas vb bir araçla bir şeyi ikiye ayırmak","Dibinden ayırmak",
6,Evet,"Dilimizde hemen hemen her durum için bir atasözü bulunmaktadır... nasıl davranırsan aynı davranışı görürsün anlamında ---- bir kişinin değerinin en iyi çevresindekilerce bilineceği anlamında ---- kişinin karşılık beklediği işten istediğini alabilmesi için gereken harcamaları yapması anlamında ise ---- atasözleri kullanılır","Bu metinde boş bırakılan yerlere sırasıyla aşağıdakilerin hangisinde verilen atasözleri getirilmelidir","Rüzgâr eken fırtına biçer / Yuvarlanan taş yosun tutmaz / Sakla samanı gelir zamanı","İyilik eden iyilik bulur / Taş yerinde ağırdır / Bağa bak üzüm olsun yemeye yüzün olsun","Son pişmanlık fayda vermez / Bana arkadaşını söyle sana kim olduğunu söyleyeyim / Bakarsan bağ bakmazsan dağ olur","Besle kargayı oysun gözünü / Altın yere düşmekle pul olmaz / Yazın başı pişenin kışın aşı pişer",
7,Evet,"Ardı ardına sıralanmış ağaçsız dağların ortasında tıpkı çöldeki bir vaha gibi yemyeşil bir köydü burası... evlerinin etrafını çeşit çeşit meyve ağaçlarıyla süslemişti","Buna göre metinde birbirine benzetilen kavramlar aşağıdakilerin hangisinde doğru verilmiştir","Köy - Vaha","Dağlar - Çöl","Vaha - Dere","Çöl - Vaha",
8,Evet,"1950lere kadar yazılan romanları gözümüzün önünden geçirecek olursak edebiyatımızda doğa... neredeysen anlatılmamış gibidir. Oysa Yaşar Kemal doğayı insanla iç içe geçirerek yazdı ve bundan hiç uzaklaşmadı","Bu metinde geçen 'doğayı insanla iç içe geçirmek' söz öbeğinin anlamı aşağıdakilerden hangisidir","Doğayı eserlerinin ana konusu hâline getirmek","İnsanın doğayla mücadelesinde ayna vazifesi görmek","Roman kahramanlarının içinde bulunduğu tabiatı anlatmak","İnsan ve doğa unsurunu ayrılmaz bütün içinde ele almak",
9,Evet,"Bir sözcüğün akla gelen ilk anlamına gerçek anlam... tamamen uzaklaşarak kazandığı yeni anlama ise mecaz anlam denir. Buna göre Çiçeklerin dilinden konuşmak renkli ve güzel konuşmaktır... daima saf temiz duyguları ifade eder. Solmuş olsa bile çiçekler...","metninde numaralanmış sözcüklerden hangisi mecaz anlamda kullanılmamıştır","I (renkli)","II (beslemek)","III (saf)","IV (Solmuş)",
10,Evet,"I Üstünde sürekli olarak bulundurmak II Bir şeyi bir yerden alıp başka bir yere götürmek III Sahip olmak özellik olarak kendinde bulundurmak","Taşımak sözcüğü aşağıdaki cümlelerin hangisinde numaralanmış anlamlardan herhangi biriyle kullanılmamıştır","Üzerimde çok fazla para taşımak huyum değildir","Evin sorumluluğunu taşımak babaya düşer","Çocuk babanın huyunu taşırmış","Arkadaşım Ali okul çantasını güçlükle taşıyormuş",
11,Evet,"Anlamdaş gibi göründüğü hâlde birbirinin yerini tamamen tutmayan... sözcüklere yakın anlamlı sözcük denir. I Mıntıka temizliği yapılacağını öğrenince ortadan sıvıştı II İşleri son güne kadar bitiremeyince kovuldu III Sana bir ömür boyu mutluluklar diliyorum IV Emre susmak bilmeyince dersten atılmış","numaralanmış cümlelerin hangilerindeki altı çizili sözcükler anlamca birbirine en yakındır","I ve II","I ve III","II ve III","II ve IV",
12,Evet,"I Yeni konuya geçmeden önce eski konuların tekrarını yapalım II Soruyu doğru çözdüğü için ödülü hak etmiştir III Soğuk havalarda bol bol sıcak içecekler tüketmelisin IV İyi niyetli bir insan olduğunu herkes biliyordu","Numaralanmış cümlelerin hangilerinde karşıt anlamlı sözcükler bir arada kullanılmıştır","I ve II","I ve III","II ve III","II ve IV",
13,Evet,"Bağ evine gelen misafirlerini en güzel biçimde ağırladı cümlesi","Bu cümledeki altı çizili sözcükte bulunan anlam ilişkisinin benzeri aşağıdakilerin hangisinde vardır","Bu yol nereye gider bilir misiniz","Kötü davranışları hepimizin canını sıktı","Şimdi seninle dışarıda olmak vardı","Bu karda kışta sokakta ne işin var",
14,Evet,"Doğada canlı veya cansız varlıkların çıkardığı seslerden türetilen sözcüklere yansıma sözcük denir. I Şehrin gürültüsünden kurtulmak için memlekete taşındık II Çok yorulduğu günler sabaha kadar mışıl mışıl uyuyor III İşleri tıkırında gidince bizleri yemeğe çıkardı","cümlelerinin hangilerinde yansıma sözcük kullanılmıştır","Yalnız I","Yalnız III","I ve II","I II ve III",
15,Evet,"Sen petek misali Veysel de arı (I) / İnleşir beraber yapardık balı (II) / Ben bir insanoğlu sen bir dut dalı (III) / Ben babamı sen ustanı unutma (IV)","Bu dörtlükte numaralanmış sözcüklerden hangilerinin eş seslisi vardır","I ve II","I ve IV","II ve III","III ve IV",
16,Evet,"I Odayı ağır bir koku kaplamıştı II Davul çalsa uyanmaz uykusu çok ağırdır III Sözleri çok ağır ve kırıcıydı IV Yediğim yemek ağır geldi V Taşıdığı koliler o kadar ağırdı ki beli bükülmüştü","Ağır sözcüğü kaç farklı anlamda kullanılmıştır",2,3,4,5,
17,Evet,"Kafamda onlarca öykü çekirdeği var bakalım hangi biri filizlenip gün ışığına çıkabilecek","Altı çizili sözcüğün bu cümleye kattığı anlam aşağıdakilerin hangisinde vardır","Projenin temelini daha üniversitede okurken oluşturmuştu","Filmin en önemli sahnesi çocuğun konuşmaya başladığı sahneydi","Yöneticimiz eleştirel düşünceleri her zaman dikkate alırdı","Yazacağı romanın ana bölümünü tamamlamış diğer bölümlere geçmişti",
18,Evet,"Yazarın en büyük başarısı hikâye anlatıcısı olarak kendini gizleyip hikâyeyi karakterlerinin sürdürmesine olanak vermesidir... takdir etmesi... yermesi... boyunca... karmaşık duygularla boğuşmalıdır","Aşağıdakilerin hangisinde bu parçadaki altı çizili sözcüklerden herhangi birinin anlamca karşılığı yoktur","Doktorun önerdiği diyet programına altı ay süresince kararlı bir şekilde uydu","Hayalini kurduğumuz pek çok şeyi gerçek hayatta yapma imkânı bulabiliriz","İnsanların kusurlarını ortaya koymadan önce kendi kusurlarımızı aklımıza getirmeliyiz","İçindeki sıkıntının nedenini biliyor ancak bu sıkıntıdan bir türlü kurtulamıyordu",
19,Evet,"Düşmek sözcüğü... değerli bir şeyi ucuza ve kolay elde etmek anlamında kullanılmıştır","Aşağıdakilerin hangisinde 'düşmek' bu anlamda kullanılmıştır","Yeni yönetim kurulu görevden düşürüldü","İyi bir pazarlıkla fiyatı düşürdük","Bu antika parçayı şansına düşürdü de aldı","Zavallı adam parasını düşürmüştü galiba",
20,Evet,"I Çocuk okumanın önemini çoktan kavradı II Bu konuda gevşek davranırsanız kaybedersiniz III Havuzun başında koşuşan çocuklar vardı IV Anlatılanları çabucak öğrenmek istiyorum","Numaralanmış cümlelerin hangisinde altı çizili sözcük mecaz anlamıyla kullanılmıştır",I,II,III,IV,
21,Evet,"I Kedi derin bir su kuyusunun içine düşmüştü II Bakkal amca sık sık derin düşüncelere dalıyordu III Şairin mısralarının çok derin anlamları vardı IV Çocuklar bahçede derin bir sohbete dalmıştı","Derin sözcüğü numaralanmış cümlelerin hangisinde gerçek anlamıyla kullanılmıştır",I,II,III,IV,
22,Evet,"I Ormanlarımız her geçen gün yanıyor II Kâğıtlar sobada iyice yandı III Ocaktaki odunlar iyi yanıyor IV Maça yetişemeyince biletler yandı","Numaralanmış cümlelerde hangisinde 'yanmak' sözcüğü gerçek anlamının dışında kullanılmıştır",I,II,III,IV,
23,Evet,"Bir bilim meslek ya da sanat dalına ait olan ve o alana ait bir anlam ifade eden sözcüklere terim anlamlı sözcükler denir","Buna göre aşağıdaki cümlelerden hangisinde terim anlamlı bir sözcüğe yer verilmiştir","Limana yanaşan gemilerin güvertelerinde çuvallar varmış","Ders çalışmaya başlamadan önce masasını topladı","Geçen hafta kuzenim Edayla kitap fuarına katıldık","Yaşlı amca yolun karşısına geçmek için bizlerden yardım istedi",
24,Evet,"IBM firması tarafından geliştirilen bilgisayar saniyede bir katrilyon işlem yapabiliyor... tasarımcıları... toplama... işlem","Bu metindeki altı çizili sözcüklerden hangisi terim anlamlı değildir","tasarımcı","saniye","toplama","işlem",
25,Evet,"Günümüzde spor farklı amaçlar doğrultusunda yapılmaktadır... Amatör sporcu stresten uzak kalmak... profesyonel sporcu ise para kazanmak...","Metindeki numaralandırılmış cümlelerin hangisinde karşıt anlamlı sözcükler bir arada kullanılmıştır",I,II,III,IV,
26,Evet,"I Babam tamir işlerinden az çok anlar II Kardeşim neredeyse benim boyuma geldi III Bana haber vermeyi her nasılsa unutmuş IV Gideceğimiz yere hemen hemen yaklaştık","Numaralanmış cümlelerde geçen altı çizili sözlerden hangileri anlamca birbirine en yakındır","I ve III","I ve IV","II ve III","II ve IV",
27,Evet,"Adamın Türkçesinde bir tutukluk vardı ama anlatımındaki sıcaklık bütün aksaklıkları bir anda silip yok ediyordu","Bu cümledeki 'anlatım' sözcüğünün eş anlamlısı aşağıdakilerden hangisinde kullanılmıştır","Kitabın tanıtımında kullandığı ifade tarzı hiç de uygun değildi","Minik Ayşe bizimle oynarken ne kadar mutlu olduğu gözlerinden okunuyordu","Bora dilekçenin altına imza atmadığı için başvurusu geçersiz sayıldı","Yaşlı teyze ikide bir sözümüzü kesiyor bizleri konuşturmuyordu",
28,Evet,"Yüz kere yüzünü yıkamanı söyledim cümlesinde yüz sözcüğü eş seslidir","Buna göre aşağıdaki cümlelerin hangisinde altı çizili sözcükler arasında aynı anlam ilişkisi vardır","Elden ne gelir artık el kapısında çalışacağız","Büyük insanlar büyük konuşur","Onuncu kata çıkarken asansör her katta durdu","Dedesi ak saçlı ak sakallı biriydi",
